bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-transactionfees_raw,bitcoin-median_transaction_fee_raw,bitcoin-fee_to_reward_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-sma-7,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-90,difficulty-btc-mom-90,difficulty-btc-var-90,difficulty-btc-trx-30,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-90,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-30,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-30,mining_profitability-btc-std-90,mining_profitability-btc-mom-90,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-rsi-90,mining_profitability-btc-roc-90,sentinusd-btc-sma-90,sentinusd-btc-std-30,sentinusd-btc-std-90,sentinusd-btc-var-90,sentinusd-btc-trx-90,transactionfees-btc-sma-3,transactionfees-btc-sma-90,transactionfees-btc-ema-3,transactionfees-btc-ema-7,transactionfees-btc-ema-90,transactionfees-btc-wma-3,transactionfees-btc-wma-30,transactionfees-btc-wma-90,transactionfees-btc-std-90,transactionfees-btc-mom-90,transactionfees-btc-var-14,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-rsi-90,transactionfees-btc-roc-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-sma-14,median_transaction_fee-btc-ema-7,median_transaction_fee-btc-ema-14,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-wma-14,median_transaction_fee-btc-std-30,median_transaction_fee-btc-std-90,median_transaction_fee-btc-mom-30,median_transaction_fee-btc-mom-90,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-30,median_transaction_fee-btc-rsi-90,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-ema-30,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-var-90,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-7,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-30,marketcap-btc-std-7,marketcap-btc-std-14,marketcap-btc-std-30,marketcap-btc-std-90,marketcap-btc-mom-90,marketcap-btc-var-14,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-14,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-14,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-30,marketcap-btc-roc-90,transactionvalue-btc-sma-30,transactionvalue-btc-sma-90,transactionvalue-btc-std-7,transactionvalue-btc-std-14,transactionvalue-btc-std-90,transactionvalue-btc-var-7,transactionvalue-btc-var-14,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-90,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-mom-90,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,mediantransactionvalue-btc-roc-90,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-3,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-3,fee_to_reward-btc-wma-7,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-14,fee_to_reward-btc-var-30,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-90,size-btc-sma-14,size-btc-sma-90,size-btc-ema-14,size-btc-ema-30,size-btc-ema-90,size-btc-wma-14,size-btc-wma-30,size-btc-wma-90,size-btc-std-90,size-btc-var-30,size-btc-var-90,size-btc-trx-30,transactions-btc-sma-14,transactions-btc-ema-14,transactions-btc-ema-30,transactions-btc-ema-90,transactions-btc-wma-90,transactions-btc-std-30,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-std-90,sentbyaddress-btc-var-30,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-7,top100cap-btc-sma-14,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-7,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-3,top100cap-btc-wma-7,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-90,top100cap-btc-mom-90,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-rsi-30,top100cap-btc-rsi-90,top100cap-btc-roc-90,activeaddresses-btc-sma-30
1039517192,94.715,0.0777,0.0474,0.867,7220.0,19.962,6695826,5956136,5182950,3906368,6690038,6526779,6096133,5385392,4296620,6695826,6368099,5652157,4430808,2161986,3716190,1168545930405.0,1.046,97.889,91.841,124.72,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,55439878831239.0,49808994690260.0,37564285480092.0,19252887180085.0,9.2668416192271e+25,1.2925476936344e+26,1.373,0.372,6932.0,6562.0,5449.0,3913.0,6990.0,6648.0,5603.0,4403.0,7035.0,6806.0,5894.0,4650.0,2048.0,2778.0,4974.0,1048771.0,1929846.0,1.215,0.091,54.763,221.516,50015639,99974157,83568369,1745918089683000.0,0.276,0.089,0.031,0.084,0.082,0.038,0.086,0.065,0.042,0.045,0.067,0.001,2.712,1.218,55.785,624.061,0.045,0.042,0.037,0.042,0.038,0.046,0.044,0.04,0.019,0.023,0.031,0.041,2.482,1.11,68.162,65.414,606.456,8.4,9.146,8.368,8.93,8.698,1.818,-0.057,991852178,931090321,806312686,352418998,997954603,929243159,824742386,669282203,428855865,1005258635,966815475,881124856,725365498,151770276,284722845,409268958,455860515,897213385,20266774602124288,4.187527004296205e+16,5.195220233693293e+16,3.675,2.586,1.097,95.218,93.977,91.946,189.415,630.491,1883,1039,1180.0,1325.0,1697.0,348197,438600,1030745,719749,-0.116,31.061,32.651,28.818,50.469,207.617,2.119,0.207,347.641,1.301,1.154,1.279,1.237,1.06,1.172,1.189,1.215,1.157,1.037,1.22,1.205,1.188,1.245,0.555,1.147,0.956,0.077,0.329,0.229,0.742,149845,154528,155480,154181,149099,158761,151140,156022,50776,938951276,644540075,-0.019,52906,53166,53711,51153,54403,17233,16078,64627438,10848,41786951,29422322,0.406,0.253,19.799,19.59,19.499,19.396,19.799,19.671,19.545,19.501,19.922,19.86,19.706,19.568,19.428,0.322,0.426,0.026,0.063,0.011,65.405,50.301,2.183,64764
1183101461,107.749,0.105,0.0539,1.338,7990.0,20.024,6695826,6088148,5260549,3947659,6692932,6569041,6176092,5469936,4349349,6695826,6466725,5749761,4492115,2230475,3716190,1243754847226.0,1.085,97.889,91.841,124.72,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,56553256710420.0,50898629883949.0,38225151777783.0,19640918710600.0,9.6441421949099e+25,1.3821861281017e+26,1.406,0.384,7394.0,6924.0,5582.0,3977.0,7490.0,6984.0,5757.0,4482.0,7564.0,7164.0,6058.0,4740.0,2170.0,2884.0,5757.0,1177343.0,2079147.0,1.241,0.104,55.757,257.863,52609580,113391979,94000481,2209022600061440.8,0.312,0.092,0.032,0.094,0.088,0.04,0.094,0.068,0.043,0.047,0.094,0.001,2.777,1.251,58.315,869.772,0.049,0.045,0.039,0.045,0.04,0.05,0.047,0.042,0.02,0.024,0.038,0.047,2.534,1.139,71.179,67.414,716.218,8.367,9.13,8.341,8.909,8.672,1.833,-0.059,1066526516,987933018,850756175,364007125,1090528032,992707735,872523596,702431833,445432691,1100883277,1029818260,931363359,761891508,185038396,310676905,444769123,485734098,1042931435,24130034807257856,4.945489328610125e+16,5.898440351722694e+16,3.792,2.665,1.129,96.519,95.152,93.08,235.976,744.047,2012,1081,1604.0,1673.0,1835.0,643025,699432,1166540,841849,-0.089,32.466,34.151,32.06,80.441,256.962,2.21,0.23,554.221,1.322,1.163,1.286,1.243,1.199,1.214,1.209,1.223,1.161,1.138,1.229,1.229,1.192,1.248,0.563,1.145,0.953,0.079,0.328,0.227,0.733,152916,155210,158142,155553,149678,162174,152459,156482,50230,952368214,630754328,-0.015,54132,54489,54317,51415,54635,17526,15980,63840999,11689,47486125,34157477,0.432,0.256,19.861,19.639,19.522,19.401,19.855,19.718,19.576,19.513,19.974,19.917,19.764,19.602,19.442,0.345,0.427,0.03,0.074,0.014,66.711,50.893,2.179,66291
1318189886,120.003,0.133,0.06,1.596,8852.0,19.987,6695826,6220161,5338147,3988950,6694379,6600737,6245390,5549026,4400920,6695826,6547748,5842360,4552514,2293952,3716190,1315553871298.0,1.122,97.889,91.841,124.72,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,57300567652967.0,51824489851457.0,38841863840867.0,20044305085355.0,1.004435415887e+26,1.4600249790161e+26,1.435,0.396,8021.0,7363.0,5743.0,4050.0,8171.0,7451.0,5957.0,4578.0,8293.0,7645.0,6269.0,4847.0,2388.0,3037.0,6575.0,1426075.0,2305788.0,1.276,0.117,56.831,288.861,55179282,122981011,102642361,2633863588145095.0,0.353,0.105,0.034,0.114,0.099,0.042,0.114,0.073,0.046,0.052,0.121,0.001,2.871,1.288,60.746,1028.0,0.054,0.048,0.041,0.049,0.043,0.056,0.051,0.045,0.023,0.025,0.027,0.053,2.599,1.17,73.612,69.112,808.284,8.373,9.123,8.334,8.894,8.652,1.841,-0.061,1180269513,1052246046,899864027,377094375,1204358959,1074078272,931945768,742158159,464614168,1226714962,1112382477,993687854,805345883,267956086,368052436,493549055,522966667,1177852524,33865648882136320,6.089766752797075e+16,6.837353381290434e+16,3.958,2.756,1.163,97.272,95.925,93.897,264.158,839.301,2144,1125,1766.0,1939.0,1965.0,779856,940396,1276352,964945,-0.059,34.005,35.799,35.657,82.801,317.859,2.327,0.256,419.627,1.292,1.227,1.299,1.25,1.398,1.31,1.26,1.247,1.17,1.389,1.297,1.287,1.212,1.255,0.541,1.151,0.953,0.073,0.331,0.227,0.725,158643,156056,161618,157402,150437,166346,154304,157119,49584,976467593,614641815,-0.006,55396,55726,54926,51687,54876,17519,15982,63855681,13162,64654761,43309807,0.468,0.26,19.906,19.68,19.542,19.405,19.888,19.754,19.602,19.523,19.995,19.948,19.81,19.632,19.454,0.364,0.366,0.033,0.085,0.017,65.191,50.53,1.864,68078
1357824968,123.562,0.141,0.0618,1.948,8777.0,19.99,6695826,6352174,5415745,4030241,6695103,6624509,6305448,5623013,4451358,6695826,6611170,5929952,4612006,2352822,3716190,1383943002621.0,1.154,97.889,91.841,124.72,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,57233203198374.0,52379205377642.0,39339807259569.0,19731382020831.0,9.7331859112988e+25,1.5046140384409e+26,1.456,0.407,8540.0,7555.0,5910.0,4122.0,8474.0,7782.0,6139.0,4670.0,8671.0,7999.0,6465.0,4951.0,2510.0,3171.0,6518.0,1574429.0,2513253.0,1.316,0.132,56.71,288.561,57367531,129336259,108586735,2947769732649600.0,0.396,0.126,0.035,0.128,0.11,0.044,0.132,0.078,0.048,0.056,0.131,0.001,2.985,1.328,61.387,1244.0,0.059,0.051,0.043,0.052,0.045,0.06,0.054,0.048,0.024,0.027,0.043,0.055,2.674,1.203,74.264,69.578,834.762,8.339,9.122,8.399,8.904,8.657,1.841,-0.063,1286372105,1111986416,946913769,390620653,1281091963,1145014946,988729661,781878598,484245175,1315492689,1188777207,1054749313,849301001,321929291,418350875,539459089,559483423,1217365028,43754363667288448,7.27540271846002e+16,7.825542515096218e+16,4.134,2.854,1.2,97.446,96.113,94.103,241.441,866.699,2244,1165,1853.0,2083.0,2068.0,858294,1085025,1387167,1069102,-0.027,35.968,37.883,40.642,111.93,412.95,2.481,0.285,983.208,1.382,1.3,1.315,1.261,1.673,1.469,1.352,1.292,1.187,1.729,1.461,1.383,1.254,1.271,0.627,1.173,0.963,0.098,0.344,0.232,0.717,165396,156943,169611,161541,152000,174736,158518,158559,51353,1069093010,659287348,0.013,56210,57195,55688,52017,55177,18049,16206,65661184,14643,85452388,53607673,0.514,0.264,19.947,19.723,19.564,19.41,19.914,19.786,19.627,19.534,19.995,19.969,19.852,19.661,19.467,0.383,0.45,0.037,0.094,0.02,65.257,50.559,2.302,69795
1414392012,128.664,0.12,0.0643,1.432,9950.0,19.833,6740002,6506275,5503651,4074968,6850081,6719647,6398730,5712177,4507483,6773134,6698222,6032489,4677386,2423226,4025422,1468006625051.0,1.184,98.186,92.508,135.098,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,56680072340202.0,52665828439969.0,39753796023936.0,19126208338407.0,9.1452961351038e+25,1.5309926268188e+26,1.468,0.419,9193.0,8052.0,6087.0,4210.0,9212.0,8324.0,6385.0,4786.0,9376.0,8598.0,6726.0,5079.0,2853.0,3368.0,7877.0,2035077.0,2836428.0,1.368,0.147,58.121,379.844,59595584,135208527,114080731,3253603293525400.0,0.441,0.132,0.036,0.124,0.112,0.045,0.129,0.081,0.05,0.059,0.11,0.001,3.093,1.37,58.864,1049.0,0.062,0.054,0.045,0.055,0.048,0.063,0.058,0.051,0.026,0.028,0.045,0.058,2.755,1.237,75.175,70.229,876.762,8.334,9.11,8.446,8.909,8.657,1.828,-0.065,1363468955,1178437837,996612312,404780326,1347741988,1212359213,1045484641,822685915,504687962,1379502643,1264378606,1117079745,894840766,350849537,461177453,585022130,596666721,1274370485,53171160876601088,8.556272309817466e+16,8.90027940952962e+16,4.304,2.957,1.238,97.675,96.361,94.378,233.999,910.125,2341,1205,1589.0,2108.0,2170.0,631002,1110469,1503864,1177635,0.006,37.929,39.98,45.16,111.238,509.864,2.658,0.317,797.696,1.389,1.319,1.232,1.267,1.552,1.46,1.363,1.301,1.193,1.631,1.474,1.4,1.261,1.274,0.627,0.672,0.96,0.098,0.113,0.23,0.71,169640,157741,172338,163382,152837,178026,160641,159287,51155,1058645352,654198460,0.034,56271,57731,56045,52220,55352,17976,16024,64193454,15788,102026223,62312782,0.564,0.269,19.943,19.757,19.578,19.413,19.893,19.792,19.64,19.54,19.911,19.94,19.866,19.678,19.477,0.392,0.29,0.038,0.1,0.023,59.122,49.033,1.485,70824
1474827634,134.114,0.101,0.0671,0.947,8923.0,19.833,6879599,6708086,5613822,4127116,7261540,6957985,6568632,5838682,4577055,7006384,6853785,6172446,4756464,2526499,4693363,1595799220682.0,1.216,98.62,93.644,157.515,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,57489531610825.0,53559612436911.0,40380708754402.0,18840725883715.0,8.8743237956317e+25,1.6018521835239e+26,1.479,0.431,9217.0,8384.0,6217.0,4283.0,9068.0,8474.0,6548.0,4877.0,9241.0,8816.0,6909.0,5183.0,2999.0,3486.0,6611.0,2248623.0,3037954.0,1.419,0.163,56.491,285.864,61196359,134073592,115485795,3334242195953900.0,0.486,0.121,0.037,0.112,0.109,0.047,0.114,0.084,0.051,0.06,0.087,0.001,3.173,1.411,56.7,626.386,0.064,0.057,0.048,0.058,0.05,0.065,0.061,0.054,0.028,0.03,0.047,0.06,2.84,1.274,76.109,70.901,922.051,8.328,9.098,8.471,8.907,8.651,1.821,-0.066,1415681538,1252116292,1052259702,419616955,1411284811,1277976318,1102730374,864759574,526009713,1435181982,1338476055,1180841788,942148593,352254544,489671522,629729766,634738238,1335296658,59944549751180288,9.913989447586125e+16,1.0072315767911875e+17,4.456,3.062,1.278,97.892,96.601,94.647,239.445,956.989,2423,1239,1388.0,1987.0,2215.0,481790,987019,1477977,1226309,0.04,39.077,41.281,46.74,72.548,546.156,2.811,0.35,411.787,1.315,1.318,1.213,1.267,1.25,1.332,1.307,1.278,1.187,1.276,1.363,1.351,1.243,1.267,0.629,0.671,0.96,0.099,0.113,0.23,0.702,172024,158385,170502,163071,152963,176549,160741,159305,49700,989697975,617523242,0.052,56190,56907,55755,52205,55309,17461,15424,59472284,15763,102441468,62117197,0.607,0.274,19.925,19.792,19.593,19.416,19.878,19.797,19.653,19.547,19.859,19.913,19.876,19.695,19.486,0.4,0.23,0.04,0.103,0.026,59.132,49.037,1.171,71381
1563013110,142.08,0.121,0.071,1.302,9411.0,19.767,7019195,6857511,5723993,4179265,7467270,7136739,6715881,5957025,4645098,7204734,6982440,6305297,4834395,2621567,4693363,1718152888140.0,1.248,98.62,93.644,157.515,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,58326586227485.0,54446884782637.0,41016974443350.0,18707180146223.0,8.7489647255807e+25,1.6795519101196e+26,1.489,0.443,9428.0,8732.0,6370.0,4360.0,9240.0,8709.0,6733.0,4977.0,9339.0,9073.0,7115.0,5295.0,3162.0,3626.0,6962.0,2498776.0,3286874.0,1.472,0.179,57.07,284.158,62405013,131287264,115946907,3360921285754477.0,0.53,0.114,0.038,0.117,0.112,0.048,0.114,0.087,0.053,0.062,0.109,0.001,3.244,1.452,58.303,925.944,0.067,0.061,0.051,0.061,0.053,0.069,0.064,0.057,0.03,0.032,0.05,0.064,2.93,1.312,77.395,71.841,979.512,8.321,9.1,8.491,8.904,8.644,1.819,-0.068,1484077585,1335838037,1113279831,435428226,1487148960,1349235516,1164101405,909808190,548800997,1508847768,1416200260,1248942242,992908503,328656778,515461678,677702511,675664378,1423014406,66425185414824960,1.148201734889614e+17,1.1413058805451376e+17,4.595,3.168,1.321,98.162,96.909,95.001,248.283,1016.0,2475,1261,1635.0,1741.0,2223.0,668299,757413,1397038,1235699,0.073,39.631,41.996,47.111,48.258,554.859,2.913,0.383,300.925,1.347,1.349,1.217,1.272,1.276,1.324,1.307,1.28,1.19,1.206,1.36,1.349,1.249,1.268,0.576,0.672,0.956,0.083,0.113,0.229,0.695,177415,159496,175157,165803,154115,181001,163956,160339,49383,1069205906,609668881,0.074,57063,57770,56247,52451,55522,17759,15284,58397618,15865,100672517,62923228,0.64,0.278,19.914,19.82,19.602,19.418,19.85,19.793,19.66,19.551,19.8,19.874,19.873,19.706,19.494,0.404,0.141,0.041,0.103,0.028,56.711,48.404,0.72,72398
1799989332,163.561,0.123,0.0818,1.183,10124.0,19.689,7158791,6927309,5834164,4229880,7570135,7270804,6843497,6067733,4711645,7368185,7091172,6431039,4911181,2711968,4555363,1838692472962.0,1.279,98.62,93.644,146.116,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,59225424300777.0,55315279585865.0,41657508084677.0,18541883113718.0,8.5950357350694e+25,1.762090814185e+26,1.498,0.455,9486.0,9147.0,6535.0,4453.0,9682.0,9062.0,6952.0,5090.0,9687.0,9421.0,7357.0,5422.0,3402.0,3782.0,8304.0,2893644.0,3575871.0,1.528,0.196,57.897,456.035,64431646,131132652,119753751,3585240197880137.0,0.574,0.115,0.04,0.12,0.115,0.05,0.119,0.09,0.055,0.064,0.112,0.001,3.305,1.494,58.463,989.802,0.073,0.066,0.054,0.066,0.057,0.076,0.07,0.061,0.033,0.034,0.06,0.075,3.033,1.352,80.346,74.12,1120.0,8.346,9.083,8.542,8.913,8.648,1.786,-0.069,1612610025,1444476915,1187783618,453843044,1643569146,1461923970,1248886462,967239231,576299641,1666803642,1532238083,1340503509,1056560996,365701109,584766239,751938281,730830417,1657333580,85487888508019968,1.413527946427534e+17,1.3352827466677536e+17,4.771,3.286,1.366,98.658,97.53,95.761,283.564,1162.0,2583,1297,1360.0,1680.0,2296.0,462659,705941,1372963,1317457,0.108,41.631,44.156,51.324,112.106,658.551,3.035,0.418,605.596,1.392,1.347,1.216,1.274,1.229,1.289,1.29,1.274,1.19,1.183,1.319,1.327,1.247,1.266,0.578,0.672,0.954,0.084,0.113,0.228,0.687,179311,160005,177818,167694,155017,183361,166413,161122,49894,1115915801,622354878,0.099,57969,58271,56587,52650,55688,17934,15008,56310715,16667,105592143,69446512,0.677,0.283,19.875,19.837,19.608,19.421,19.81,19.779,19.662,19.554,19.739,19.817,19.856,19.712,19.499,0.408,0.294,0.042,0.1,0.03,54.048,47.679,1.514,74390
2151102847,195.397,0.144,0.0977,1.11,13352.0,19.714,7298387,6997107,5944335,4279029,7621567,7371353,6954098,6171299,4776730,7496738,7190598,6549674,4986854,2798086,4423450,1957321566010.0,1.308,98.62,93.644,136.125,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,60252315743341.0,56237950129593.0,42327366992383.0,18701125323864.0,8.743302209472e+25,1.8427629541468e+26,1.506,0.467,10963.0,9913.0,6805.0,4578.0,11517.0,10135.0,7365.0,5272.0,11619.0,10472.0,7797.0,5618.0,4155.0,4185.0,11242.0,4316562.0,4379283.0,1.606,0.215,61.31,532.828,67789645,145523932,131209654,4303993317407992.0,0.623,0.129,0.041,0.132,0.122,0.052,0.133,0.095,0.057,0.068,0.134,0.001,3.369,1.538,60.061,1292.0,0.084,0.072,0.058,0.074,0.062,0.088,0.078,0.067,0.039,0.037,0.053,0.091,3.161,1.397,83.624,76.92,1337.0,8.357,9.051,8.519,8.897,8.628,1.75,-0.07,1838035096,1582762827,1285347923,476135446,1897335997,1634218689,1369181980,1043617529,610910701,1936050053,1708894567,1468946073,1140004234,550938111,722985827,870274634,809883232,2006316195,130677126534863616,1.893444844507342e+17,1.6397771221867283e+17,5.043,3.427,1.416,99.062,98.112,96.548,345.233,1386.0,2761,1359,2036.0,2133.0,2499.0,1036203,1137748,1634615,1560757,0.145,44.961,47.663,61.185,172.672,935.916,3.222,0.459,843.444,1.36,1.341,1.209,1.275,1.17,1.244,1.266,1.263,1.188,1.166,1.248,1.295,1.24,1.263,0.586,0.672,0.953,0.086,0.113,0.227,0.679,180579,160347,177993,168432,155546,183337,167756,161542,49992,1105939032,624788508,0.122,59247,59408,57247,52961,55965,17120,15049,56620209,17992,122951117,80927400,0.721,0.289,19.83,19.846,19.618,19.424,19.786,19.771,19.665,19.558,19.714,19.777,19.839,19.718,19.506,0.413,0.329,0.043,0.095,0.032,54.763,47.935,1.699,76227
1965870661,178.5,0.181,0.0892,1.34,12305.0,19.762,7437983,7066905,6054505,4328179,7647284,7446765,7049951,6268182,4840384,7590391,7280717,6661200,5061446,2878277,4423450,2071119322547.0,1.335,98.62,93.644,136.125,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,61816842038471.0,57433350995605.0,43098468655225.0,19206820698080.0,9.2225490332046e+25,1.9607456225329e+26,1.518,0.48,11927.0,10406.0,7054.0,4689.0,11911.0,10677.0,7683.0,5426.0,12290.0,11070.0,8152.0,5788.0,4531.0,4459.0,10026.0,5132843.0,4971618.0,1.69,0.235,59.722,439.973,72404772,175702618,151433519,5733027655108845.0,0.679,0.149,0.043,0.157,0.137,0.055,0.159,0.101,0.06,0.074,0.141,0.001,3.457,1.585,62.619,350.16,0.09,0.076,0.062,0.078,0.066,0.091,0.082,0.071,0.042,0.04,0.044,0.082,3.289,1.445,76.609,72.699,1198.0,8.315,9.026,8.456,8.867,8.595,1.768,-0.072,1972320947,1675288652,1363767349,496351594,1931603329,1717131682,1448740471,1103117731,640690041,1999967835,1804671525,1559682438,1207909993,559605972,762011643,933615576,864916406,1819453286,145165435848499456,2.179095110426944e+17,1.87020097431988e+17,5.253,3.567,1.468,84.586,86.938,87.849,300.395,1243.0,3006,1445,3464.0,3159.0,2864.0,3000111,2494634,2400528,2050656,0.188,51.427,54.337,88.13,326.204,1942.0,3.576,0.514,2520.0,1.323,1.308,1.213,1.246,1.255,1.268,1.276,1.268,1.191,1.237,1.244,1.295,1.248,1.264,0.527,0.673,0.756,0.069,0.113,0.143,0.672,178990,160400,176719,168432,155830,181719,168423,161720,50016,1104405178,625390165,0.141,60005,59979,57662,53197,56167,17360,15166,57499297,19967,150691678,99673358,0.775,0.295,19.798,19.852,19.628,19.429,19.78,19.77,19.672,19.562,19.734,19.76,19.828,19.728,19.513,0.418,0.413,0.044,0.09,0.033,56.115,48.425,2.133,78891
